additional_information,ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,relevant_for_the_environment,reason,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified
Development of rural economy-valorisation of local production,0,0,1,1,unclear,The description is not specific enough to determine its impact on the environment.,40182,2016,italy,India / India / Asia (South & Central Asia) / BANANA4GROWTH,india,,asia,39809.8,36000.0,39809.8,Committed,ODA,cross-cutting,Grant,Other (Bio-diversity),False,False,False,False,False,True,False,False,False,False,False
development of rural economy-production of honey,0,0,0,0,yes,"The project involves production of a natural resource using sustainable methods, which can contribute to environmental sustainability.",40183,2016,italy,Cameroon / Cameroon / Africa (South of Sahara) / SAVAGE GARDEN,cameroon,,africa,6475.73,5856.0,6475.73,Committed,ODA,cross-cutting,Grant,Other (Rural Development),True,False,False,False,False,False,False,False,False,False,False
development of rural economy,0,0,1,1,unclear,The description is not specific enough to determine its impact on the environment.,40184,2016,italy,Serbia / Serbia / Europe / SO-HO,serbia,,europe,39677.1,35880.0,39677.1,Committed,ODA,cross-cutting,Grant,Other (Rural Development),False,False,False,False,False,False,True,False,False,False,False
"The ""Dew"" project takes place in a advanced center of Belarus. A Vilejka, on a lake in a not contaminated territory. The structure, made with advanced technologies and sustainable practices (solar panels, biomass, energy conservation, organic farming, recycling and composting, etc.) is supported by Legambiente to give a direct support aimed at children living in high-risk areas and who have particular health problems. The Center offers support for both medical and pedagogical fields.",1,0,0,1,yes,"The project takes place in a natural setting, uses sustainable technologies, and aims to support children's health. Therefore, it is relevant for the environment.",40185,2016,italy,Belarus / Belarus / Europe / Dew Project,belarus,,europe,951.01,860.0,951.01,Committed,ODA,mitigation,Grant,Other (Health Basic),False,False,False,False,False,False,True,False,False,False,False
Tutorship and sanitation of urban and suburban environment,1,0,0,1,yes,"This project involves cleaning and maintaining urban and suburban environments, which promotes a healthy and sustainable living space.",40186,2016,italy,Mozambique / Mozambique / Africa (South of Sahara) / Clean Quelimane: Tutorship and sanitation of urban and suburban environment,mozambique,,africa,6634.97,6000.0,6634.97,Committed,ODA,mitigation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"The intervention covers 3 issues: agroforestry, nutrition education, promotion of renewable energy. For agroforestry will be implemented a reforestation program oriented to fruit production and forest-energy chain. For nutrition education is proposed a food safety program  which includes a creation of 5 school gardens and nutrition education to students and families involved. Finally, will be promoted the use of renewable energy installing 2 photovoltaic panels in 3 elementary schools and 2 health centers. All Municipality of Hinche will be informed about the use of renewable energy through promotion events and creation of special radio programs.  ",1,1,0,2,yes,"The project description includes the implementation of a reforestation program for fruit production, creation of school gardens, and the promotion of renewable energy through the installation of solar panels and creation of radio programs. These actions are related to environmental preservation, promotion of renewable energy and food safety.",40187,2016,italy,Haiti / Haiti / America (North & Central America) / New energies for Haiti: rural development model in Central Plateau,haiti,,latin america and the caribbean,153153.82,138497.0,153153.82,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False
"To improve the quality of education through the supply of photovoltaic panels in secondary and teacher  training schools. Together with this, will be founded one cooperative of 5 young technicians for the installation and maintenance of solar panels. Moreover, will be activated financial education courses destined for teachers.  ",1,0,1,2,yes,The project involves the use of solar panels which is an environmentally friendly source of energy.,40188,2016,italy,Tanzania / Tanzania / Africa (South of Sahara) / Enlight your Education,tanzania,,africa,17161.56,15519.2,17161.56,Committed,ODA,mitigation,Grant,Other (Education Unspecified),True,False,False,False,False,False,False,False,False,False,False
"Construction of a kindergarten: restoration of 3 classrooms and 3 old restrooms, completion of fence, installation of photovoltaic panels, training and awareness sessions about the energy produced from renewable sources. The structure will also host local committees for reunions and other meetings. ",1,1,0,2,yes,"The project involves the installation of photovoltaic panels which is a renewable source of energy, so it is an environmental project.",40189,2016,italy,Benin / Benin / Africa (South of Sahara) / Completion of an elementary school EPP Houakpe Daho - Ouidah. ,benin,,africa,39095.43,35354.0,39095.43,Committed,ODA,mitigation,Grant,Other (Education Unspecified),True,False,False,False,False,False,False,False,False,False,False
"Aid for the reconstruction of schools and water pipes in the town of Waku, Nepal",0,0,0,0,yes,"The project involves the reconstruction of schools and water pipes, which are essential for the community's well-being and development.",40190,2016,italy,Ethiopia / Ethiopia / Africa (South of Sahara) / Schools and water pipes in Nepal,"ethiopia, nepal",,"africa, asia, multicontinent_or_global",16366.25,14800.0,16366.25,Committed,ODA,mitigation,Grant,Other (Education Basic),True,False,False,False,False,True,False,False,False,True,False
A solar school for Mozambique: supply of photovoltaic panels and adjoining water system to ensure water and electricity in the School of Agriculture Boroma,1,0,1,2,yes,"The project involves the use of solar panels and a water system for a school, which are sustainable and environmentally friendly solutions.",40191,2016,italy,Mozambique / Mozambique / Africa (South of Sahara) / A solar school: supply of photovoltaic panels and adjoining water system to ensure water and electricity in the School of Agriculture Boroma,mozambique,,africa,5750.3,5200.0,5750.3,Committed,ODA,mitigation,Grant,Other (Education Secondary),True,False,False,False,False,False,False,False,False,False,False
"Construction of a well for a social center for students in Kupang, Timor Island, Indonesia",0,0,0,0,unclear,"The project involves construction of a well, which can be considered as a grey investment as it is unclear if it involves environmentally friendly materials or practices. ",40192,2016,italy,"Indonesia / Indonesia / Asia (Far East Asia) / well for a social center for students in Kupang, Timor Island, Indonesia",indonesia,,asia,3980.98,3600.0,3980.98,Committed,ODA,mitigation,Grant,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False
"The project aims to create an infrastructure project in the village of N'Tchangue - City of nhacra, (drilling a well) to provide about 1,500 people with drinking water and for irrigation. It will proceed to the drilling of the well, connecting the tower to tanks, connecting tanks to schools, gardens and animal tanks, intakes of drinking water for the population, water recovery in settling tanks. ",1,0,0,1,yes,"The project is an infrastructure project aiming to provide drinking water and irrigation for a community, using environmentally friendly methods such as drilling a well and using settling tanks to recover water. Therefore, it is beneficial for the environment.",40193,2016,italy,Guinea-Bissau / Guinea-Bissau / Africa (South of Sahara) / Water N'Tchangue,guinea-bissau,,africa,13327.44,12052.0,13327.44,Committed,ODA,mitigation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
Better access to water,1,0,0,1,unclear,"The project involves improving access to water, which is generally positive for the environment if done sustainably. However, the description does not provide enough details to make a definitive classification.",40194,2016,italy,Benin / Benin / Africa (South of Sahara) / Water and solar energy for the population in Atakora and Zou,benin,,africa,23374.1,21137.2,23374.1,Committed,ODA,mitigation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"Realisation of a new water system with a new well, a new powered photovoltaic pump, a new reservoir to ensure water supply to the hospital and better conditions to the users of the health center.",1,0,0,1,yes,"Project description includes the use of a powered photovoltaic pump which is a renewable energy source, making the project beneficial for the environment.",40195,2016,italy,Eritrea / Eritrea / Africa (South of Sahara) / Aqueduct improvement of Enghelà hospital,eritrea,,africa,35386.49,32000.0,35386.49,Committed,ODA,mitigation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
