additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
 The request for the extension of the number of lodgings for teachers comes also from the Government of Malawi itself that participates in the expenditure together with the diocese.,0,0,39229,2017,italy,"Malawi / Project for the renovation and reopening of the technical-professional school, seriously damaged by the last hurricane, as well as the extension of the rooms with toilets for the students, a kitchen and a dining hall.",malawi,,africa,47263.81,41923.0,47263.81,Committed,ODA,adaptation,Grant,Water and sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The set-up involves the construction of chicken coops, vegetable gardens and plantations, as well as the preparation of rooms with educational functions.",1,0,39225,2017,italy,Venezuela / Preparation of a center to educate the local population in the fight against food emergency and child malnutrition.,venezuela,,latin america and the caribbean,51289.74,45494.0,51289.74,Committed,ODA,cross-cutting,Grant,Other (Health basic),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The structures will be the point of reference for the students of the Politecnico but will also help the rural populations to acquire greater awareness and independence thanks to the means of communication. The internship of 100 students per year at the two centers is also planned, together with the planning and offering of an apprenticeship program for 50 rural young people",1,0,39097,2017,italy,"Kenya / The project presented by the Comboni Professional School of Gilgil concerns the construction in the villages of Kericho, Baringo and Nakuru of communication, information and reproduction centers to be connected to the existing school which currently hosts about 600 students.",kenya,,africa,269493.8,239041.0,269493.8,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 There are about 23 training activities and two economic support for girls for access to university studies (8 scholarships and 4 honor loans).,1,0,39181,2017,italy,"Tanzania / The project is presented by the Volunteer Community for the World. The design idea is of a training nature and ranges from the micro-credit field, to the agricultural, to the sanitary and to the business environment.",tanzania,,africa,81364.15,72170.0,81364.15,Committed,ODA,cross-cutting,Grant,Other (Education secondary),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Through this project, we also support activities aimed at developing economic and tourism partners in a rural area with strong emigration of youth.",1,0,39177,2017,italy,"Lebanon / The project supports the protection of the Valley of Qadisha (1988 UNESCO World Heritage), the promotion of networking activities, the  conservation and restoration of cultural and religious sites, the development of sustainable tourism.",lebanon,,asia,87936.87,78000.0,87936.87,Committed,ODA,cross-cutting,Grant,Other (Site preservation),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
" To achieve this the program will improve the access of vulnerable populations to renewable energy, clean and affordable, and promoting as well local development and empowering women.",1,1,39009,2017,italy,Other (South of Sahara) / The program will improve the living conditions and strength the resilience to natural and not natural shocks of vulnerable populations in provinces of Zambezia and Cabo Delgado.,,africa,africa,5781848.93,5128500.0,5781848.93,Committed,ODA,mitigation,Grant,Energy,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Training on nutrition and education for the families involved, strengthening activities for groups of women engaged in agriculture in order to constitute formal cooperatives.",1,0,39381,2017,italy,Rwanda / Start-up and strengthening of eco-sustainable agricultural activities at the domestic level.,rwanda,,africa,13213.98,11720.8,13213.98,Committed,ODA,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" the main purpose is to aid them to overcome their economic difficulties and to be free from the basic needs, helping them to have their rights respected, with training programmes for a simple sustainable agricultural practice as a good integration with their fundamental foraging, in which all food is obtained by collecting wild plants and pursuing wild animals. Their forest continue to be impoverished by the illegal hunting of contraband, creating to this semi-nomadic population big difficulties of survival.",1,1,39569,2017,italy,Central African Republic / Pigmies Aka Projects,central african republic,,africa,1327.85,1177.8,1327.85,Committed,ODA,mitigation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"""""Support for moroccan civil society"""" -the project aims to promote institutional social dialogue and consultations with civil society.",1,0,9432,2020,italy,Morocco / Support for moroccan civil society,morocco,,africa,6920.43,6059.92,6920.43,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"""Gardens of the Road"" is a multi-sectoral intervention of food security, inclusive and integrated approach to facilitate access to food, the integrated management of disease and malnutrition, promoting behavioral changes, the consolidation of policies aimed at ensuring the application the right to food as a fundamental human right, in the district of Dagoretti (Nairobi, Kenya).",1,0,40255,2016,italy,Kenya / Kenya / Africa (South of Sahara) / Gardens of the road,kenya,,africa,14801.08,13384.62,14801.08,Committed,ODA,mitigation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"""Pachamama"" is meant to enable an action plan to defend the sovereignty and food security for a greater and better economic development in Ecuador and an awareness campaign and marketing, through the implementation of a sales fair solidarity. The project aims to increase the practice of ecosystem management, to improve the yield of such crops. It will work to support and strengthen production, and identifying ways that allow to protect the native species of the Cacao Nacional Fino de Aroma. ",1,1,40268,2016,italy,"Ecuador / Ecuador / America (South America) / ""Pachamama” Support for better food safety",ecuador,,latin america and the caribbean,18042.14,16315.51,18042.14,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
".The project,in particular,will provide the Bosnian authorities with the capacity development activities for the accreditation of new phytosanitary protocols and some specific equipment for the involved laboratories",1,0,39124,2017,italy,Bosnia and Herzegovina / The initiative aims at strengthening the authoritioes competent for the phytosanitary system to upgrade it and align with European standards,bosnia and herzegovina,,europe,169334.84,150200.0,169334.84,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"11th edition of Diplomacy Festival in live streaming: conferences and many other events with  institutional actors (Chamber of Deputies, Embassies), journalists, economists, scholars, diplomats, focused on Italy-IORA partnership with the aim of strengthening and intensifying a sustainable economic cooperation. The aim of the project is to facilitate exchanges and investments between IORA Countries, making aware political world and civil society on the sustainable cooperation topic",1,1,8780,2020,italy,"Asia, regional / 11th Diplomacy Festival 2020 - IORA focus",,asia,asia,4568.0,4000.0,4568.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
2nd year of Master eligible track focused on environmental engineering and international cooperation,0,1,9008,2020,italy,"Developing countries, unspecified / Master in Environmental Engineering – Track “Sustainability and International Cooperation”",,"developing countries, unspecified",continent_unspecified,14160.8,12400.0,14160.8,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
