additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
Activities to improve the quality of production and to improve commercialisation,1,0,40302,2016,italy,"Middle East and North Africa / Middle East, regional / Asia (Middle East Asia) / Pal Pass Me – Strengthen the fair couscous production in Palestine ","palestine, state of",,asia,48689.59,44030.0,48689.59,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Activities to promote agriculture,1,0,40236,2016,italy,Tanzania / Tanzania / Africa (South of Sahara) / Cross-border Programme in Uganda/Tanzania for year 2016-2017,"tanzania, uganda",,africa,19929.14,18021.92,19929.14,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Activities to restart production and sale capacities of four fair trade organisations,0,0,40349,2016,italy,Nepal / Nepal / Asia (South & Central Asia) / purchase  of a drinking water purifier,nepal,,asia,36375.54,32894.4,36375.54,Committed,ODA,adaptation,Grant,Other (Trade policy and regulations and trade-related adjustment),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Activity of research related to the PhD thesis 4 Ethiopian student for the valorisation of indigenous genetic resources of wheat and teff (main cereal in the Horn of Africa),0,0,40690,2016,italy,Ethiopia / Ethiopia / Africa (South of Sahara) / Amhara Regional Agricultural Research Institute (Arari) - activity of research related to the PhD thesis ,ethiopia,,africa,10173.61,9200.0,10173.61,Committed,ODA,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Adaptation and installation of a shower in the roomshosting social accompaniment activities, a canteen and couseling servuces for homeless people.",1,0,2985,2019,italy,Mauritius / Epim 5 Pains Et 2 Poissons,mauritius,,africa,10078.2,9000.0,10078.2,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Additional wells sinking,0,0,40392,2016,italy,Mali / Mali / Africa (South of Sahara) / Water supply enhancement,mali,,africa,663.5,600.0,663.5,Committed,ODA,mitigation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Advanced training course for 10 senior civil protection officers from the small Pacific island States,0,0,3058,2019,italy,"South Asia, regional / Advanced training course for senior Civil Protection officials from the small island States of the Pacific Ocean",,"asia, pacific","asia, oceania, multicontinent_or_global",15267.51,13634.14,15267.51,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,True,False,True,False,,,,,,,,,,,,,,,,,
"After a selective examination which values the candidates’ educational background and their attitude for scientific research and interdisciplinary approach, a fully-funded position for the PhD student scholarship in Agrobioscience has been awarded to eligible students from Lebanon",0,0,9349,2020,italy,Lebanon / PhD student scholarship in Agrobioscience,lebanon,,asia,7008.68,6137.2,7008.68,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"After a selective examination which values the candidates’ educational background and their attitude for scientific research and interdisciplinary approach, a fully-funded position for the PhD student scholarship in Agrobioscience has been awarded to eligible students from Zimbabwe",0,0,9853,2020,italy,Zimbabwe / PhD student scholarship in Agrobioscience,zimbabwe,,africa,7008.68,6137.2,7008.68,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"After the secondary school, 40 girls frequent, for two years, a course for seamstress",0,0,40460,2016,italy,Congo / Congo / Africa (South of Sahara) / Professional training for 40 girls,congo,,africa,1990.49,1800.0,1990.49,Committed,ODA,cross-cutting,Grant,Other (Education Secondary),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Agricultural activities for poor Dalit families,0,0,40554,2016,italy,India / India / Asia (South & Central Asia) / Agricultural activities for poor Dalit families,india,,asia,33360.61,30168.0,33360.61,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Agricultural project Marilana,0,0,40486,2016,italy,Malawi / Malawi / Africa (South of Sahara) / Agricultural project Marilana,malawi,,africa,10859.23,9820.0,10859.23,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Agricultural training center for women Mshangano,0,0,40589,2016,italy,Tanzania / Tanzania / Africa (South of Sahara) / Agricultural training center for women Mshangano,tanzania,,africa,64946.37,58731.0,64946.37,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Agricultural vocational training for young,0,0,40590,2016,italy,Democratic Republic of the Congo / Democratic Republic of the Congo / Africa (South of Sahara) / Agricultural vocational training for young,congo,,africa,114347.01,103404.0,114347.01,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Agriculture and carpentry work-based training for young people in Leskoc Shelter Home.,0,0,40749,2016,italy,Other (Kosovo) / Kosovo / Europe / Support to professional training in Leskoc Shelter Home,kosovo,,europe,4423.31,4000.0,4423.31,Committed,ODA,cross-cutting,Grant,Other (Population policies),False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
Agropastoral and handicraft entrepreneurship for underprivileged young people,0,0,40585,2016,italy,Cameroon / Cameroon / Africa (South of Sahara) / Agropastoral and handicraft entrepreneurship for underprivileged young people,cameroon,,africa,122525.71,110800.0,122525.71,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Agua para la Vida: drinking water in some rural communities of Larreynaga Hall, the department of León, and related technical, health and hygiene training ",0,0,40151,2016,italy,"Nicaragua / Nicaragua / America (North & Central America) / Agua para la Vida: drinking water in some rural communities of Larreynaga Hall  and related technical, health and hygiene training ",nicaragua,,latin america and the caribbean,13269.93,12000.0,13269.93,Committed,ODA,adaptation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Aid for the reconstruction of schools and water pipes in the town of Waku, Nepal",1,0,40190,2016,italy,Ethiopia / Ethiopia / Africa (South of Sahara) / Schools and water pipes in Nepal,"ethiopia, nepal",,"africa, asia, multicontinent_or_global",16366.25,14800.0,16366.25,Committed,ODA,mitigation,Grant,Other (Education Basic),True,False,False,False,False,True,False,False,False,True,False,,,,,,,,,,,,,,,,,
Aim of the initiative is both sustainable local development and social entrepreneurship in order to emphasize the importance of work and the value chain of textile products deriving from the breeding of southamericam camelids (CSA) in Perù and Bolivia,1,0,9587,2020,italy,Peru / WEAVING SOLIDARITY,peru,,latin america and the caribbean,220565.88,193140.0,220565.88,Committed,Oda,cross-cutting,Grant,Industry,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Aj Quen Guatemala, an association of indigenous women, must be converted: from textile crafts to organic farming. Starting up of the production of compost, avocados, baby organic bananas and vegetables is planned (with certification of organic production), and sale internally and abroad. Demand is channelled by Ctm Agrofair. The supplies come from 18 basic associations – 550 people. Sales of 20 t of avocados a week (for export), and 3 t of compost and 15 t of vegetables a month are expected.",0,0,1498,2018,italy,Brazil / Aj Quen Guatemala,"guatemala, brazil",,latin america and the caribbean,166492.21,141018.9,166492.21,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Also canteen service for the schools of Cissin and Koubri, screening of kids’ malnutrition and the support to 5 migrants of the diaspora burkinabè in the design and implementation of their entrepreneurial projects returning to Burkina Faso.",1,0,39578,2017,italy,"Burkina Faso / The project aims at improving food safety conditions in urban and rural areas. Specifically, the project will realize 5 deep wells to guarantee access to irrigation water, training in agro-ecological production techniques and micro-credit. ",burkina faso,,africa,852.81,756.44,852.81,Committed,ODA,adaptation,Grant,Other (Rural development),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Among the activity of the Archaeological Mission in Libya of the Urbino University in 2016 we made a training course of restoration and preservation of the archeological site in emergency. Four technicians from Libya attended the training course for two months in Italy.,1,0,2975,2019,italy,Libya / Archeological Mission at Cyrene and Tripoli,libya,,africa,3135.44,2800.0,3135.44,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
